city,country,lon,lat,year,month,date,AER_AI,CO,fire_count_250km,is_peak
Lusaka,Zambia,28.28,-15.42,2018,1,2018-01-01,,,61,False
Lusaka,Zambia,28.28,-15.42,2018,2,2018-02-01,,,0,False
Lusaka,Zambia,28.28,-15.42,2018,3,2018-03-01,,,4,False
Lusaka,Zambia,28.28,-15.42,2018,4,2018-04-01,,,23,False
Lusaka,Zambia,28.28,-15.42,2018,5,2018-05-01,,,228,False
Lusaka,Zambia,28.28,-15.42,2018,6,2018-06-01,-0.766066,,1891,False
Lusaka,Zambia,28.28,-15.42,2018,7,2018-07-01,-0.929573,-7271.312815,3073,True
Lusaka,Zambia,28.28,-15.42,2018,8,2018-08-01,-0.646671,-2392.050508,9056,True
Lusaka,Zambia,28.28,-15.42,2018,9,2018-09-01,-0.571587,44.820525,7345,True
Lusaka,Zambia,28.28,-15.42,2018,10,2018-10-01,-0.8442,37.675097,2135,True
Lusaka,Zambia,28.28,-15.42,2018,11,2018-11-01,-0.973698,35.870724,872,False
Lusaka,Zambia,28.28,-15.42,2018,12,2018-12-01,-1.128367,28.235192,65,False
Lusaka,Zambia,28.28,-15.42,2019,1,2019-01-01,-1.236253,26.222606,1,False
Lusaka,Zambia,28.28,-15.42,2019,2,2019-02-01,-1.354504,25.615782,30,False
Lusaka,Zambia,28.28,-15.42,2019,3,2019-03-01,-1.398821,23.786027,265,False
Lusaka,Zambia,28.28,-15.42,2019,4,2019-04-01,-1.288676,25.43469,218,False
Lusaka,Zambia,28.28,-15.42,2019,5,2019-05-01,-1.289434,25.454149,1835,False
Lusaka,Zambia,28.28,-15.42,2019,6,2019-06-01,-1.283074,25.52164,2865,False
Lusaka,Zambia,28.28,-15.42,2019,7,2019-07-01,-1.170816,29.255681,5376,True
Lusaka,Zambia,28.28,-15.42,2019,8,2019-08-01,-0.959087,37.402625,5175,True
Lusaka,Zambia,28.28,-15.42,2019,9,2019-09-01,-0.794663,47.49237,4712,True
Lusaka,Zambia,28.28,-15.42,2019,10,2019-10-01,-1.082004,46.046552,1574,True
Lusaka,Zambia,28.28,-15.42,2019,11,2019-11-01,-1.317394,39.442952,425,False
Lusaka,Zambia,28.28,-15.42,2019,12,2019-12-01,-1.466347,26.33507,53,False
Lusaka,Zambia,28.28,-15.42,2020,1,2020-01-01,-1.532969,28.079147,0,False
Lusaka,Zambia,28.28,-15.42,2020,2,2020-02-01,-1.482871,31.93266,2,False
Lusaka,Zambia,28.28,-15.42,2020,3,2020-03-01,-1.60797,28.850274,7,False
Lusaka,Zambia,28.28,-15.42,2020,4,2020-04-01,-1.683419,27.038848,132,False
Lusaka,Zambia,28.28,-15.42,2020,5,2020-05-01,-1.604436,-9706.0236,888,False
Lusaka,Zambia,28.28,-15.42,2020,6,2020-06-01,-1.516277,28.692423,1668,False
Lusaka,Zambia,28.28,-15.42,2020,7,2020-07-01,-0.694255,29.603638,3988,True
Lusaka,Zambia,28.28,-15.42,2020,8,2020-08-01,-1.200346,41.679812,5315,True
Lusaka,Zambia,28.28,-15.42,2020,9,2020-09-01,-1.038228,51.54585,4159,True
Lusaka,Zambia,28.28,-15.42,2020,10,2020-10-01,-1.286955,51.776437,2112,True
Lusaka,Zambia,28.28,-15.42,2020,11,2020-11-01,-1.614223,42.776358,572,False
Lusaka,Zambia,28.28,-15.42,2020,12,2020-12-01,-1.669668,30.950699,0,False
Lusaka,Zambia,28.28,-15.42,2021,1,2021-01-01,-1.638423,27.837146,0,False
Lusaka,Zambia,28.28,-15.42,2021,2,2021-02-01,-1.726521,26.813491,0,False
Lusaka,Zambia,28.28,-15.42,2021,3,2021-03-01,-1.872023,28.664642,3,False
Lusaka,Zambia,28.28,-15.42,2021,4,2021-04-01,-1.863891,24.449247,35,False
Lusaka,Zambia,28.28,-15.42,2021,5,2021-05-01,-1.933539,24.671762,259,False
Lusaka,Zambia,28.28,-15.42,2021,6,2021-06-01,-1.938299,27.599831,1306,False
Lusaka,Zambia,28.28,-15.42,2021,7,2021-07-01,-0.387171,28.51855,3260,True
Lusaka,Zambia,28.28,-15.42,2021,8,2021-08-01,-0.04751,37.508832,5669,True
Lusaka,Zambia,28.28,-15.42,2021,9,2021-09-01,-0.026441,45.750541,5479,True
Lusaka,Zambia,28.28,-15.42,2021,10,2021-10-01,-0.22655,48.425722,2527,True
Lusaka,Zambia,28.28,-15.42,2021,11,2021-11-01,-0.474601,43.52141,1176,False
Lusaka,Zambia,28.28,-15.42,2021,12,2021-12-01,-0.624016,31.172238,254,False
Lusaka,Zambia,28.28,-15.42,2022,1,2022-01-01,-0.969471,27.230936,2,False
Lusaka,Zambia,28.28,-15.42,2022,2,2022-02-01,-0.844993,23.715507,1,False
Lusaka,Zambia,28.28,-15.42,2022,3,2022-03-01,-0.829418,25.341051,10,False
Lusaka,Zambia,28.28,-15.42,2022,4,2022-04-01,-0.686251,24.338398,5,False
Lusaka,Zambia,28.28,-15.42,2022,5,2022-05-01,-0.297546,24.259679,182,False
Lusaka,Zambia,28.28,-15.42,2022,6,2022-06-01,-0.36654,25.22231,1212,False
Lusaka,Zambia,28.28,-15.42,2022,7,2022-07-01,-0.295418,27.333997,3072,True
Lusaka,Zambia,28.28,-15.42,2022,8,2022-08-01,-0.058486,35.780943,7096,True
Lusaka,Zambia,28.28,-15.42,2022,9,2022-09-01,0.027806,46.657652,5638,True
Lusaka,Zambia,28.28,-15.42,2022,10,2022-10-01,0.108147,56.226529,2959,True
Lusaka,Zambia,28.28,-15.42,2022,11,2022-11-01,-0.704719,40.227194,222,False
Lusaka,Zambia,28.28,-15.42,2022,12,2022-12-01,-0.696476,26.918984,5,False
Lusaka,Zambia,28.28,-15.42,2023,1,2023-01-01,-0.786,29.172322,0,False
Lusaka,Zambia,28.28,-15.42,2023,2,2023-02-01,-0.833079,25.104107,0,False
Lusaka,Zambia,28.28,-15.42,2023,3,2023-03-01,-0.739484,26.366846,6,False
Lusaka,Zambia,28.28,-15.42,2023,4,2023-04-01,-0.604824,24.33833,79,False
Lusaka,Zambia,28.28,-15.42,2023,5,2023-05-01,-0.352678,-2409.116567,1015,False
Lusaka,Zambia,28.28,-15.42,2023,6,2023-06-01,-0.199567,28.718224,1995,False
Lusaka,Zambia,28.28,-15.42,2023,7,2023-07-01,-0.219888,28.539932,3097,True
Lusaka,Zambia,28.28,-15.42,2023,8,2023-08-01,-0.031161,35.93588,4763,True
Lusaka,Zambia,28.28,-15.42,2023,9,2023-09-01,0.246516,50.026865,3453,True
Lusaka,Zambia,28.28,-15.42,2023,10,2023-10-01,-0.213549,48.630995,1330,True
Lusaka,Zambia,28.28,-15.42,2023,11,2023-11-01,-0.484238,39.921422,458,False
Lusaka,Zambia,28.28,-15.42,2023,12,2023-12-01,-0.68518,32.654355,124,False
Lusaka,Zambia,28.28,-15.42,2024,1,2024-01-01,-0.827988,27.341759,0,False
Lusaka,Zambia,28.28,-15.42,2024,2,2024-02-01,-0.619691,25.862824,161,False
Lusaka,Zambia,28.28,-15.42,2024,3,2024-03-01,-0.700116,24.643601,190,False
Lusaka,Zambia,28.28,-15.42,2024,4,2024-04-01,-0.556351,24.732681,43,False
Lusaka,Zambia,28.28,-15.42,2024,5,2024-05-01,-0.324145,27.068678,986,False
Lusaka,Zambia,28.28,-15.42,2024,6,2024-06-01,-0.172853,31.037063,1630,False
Lusaka,Zambia,28.28,-15.42,2024,7,2024-07-01,-0.034442,36.338743,3787,True
Lusaka,Zambia,28.28,-15.42,2024,8,2024-08-01,0.034504,40.401968,2972,True
Lusaka,Zambia,28.28,-15.42,2024,9,2024-09-01,0.160767,50.803037,2085,True
Lusaka,Zambia,28.28,-15.42,2024,10,2024-10-01,-0.26522,55.425976,1266,True
Lusaka,Zambia,28.28,-15.42,2024,11,2024-11-01,-0.766045,41.033034,37,False
Lusaka,Zambia,28.28,-15.42,2024,12,2024-12-01,-0.61213,31.58953,239,False
Ndola,Zambia,28.64,-12.97,2018,1,2018-01-01,,,22,False
Ndola,Zambia,28.64,-12.97,2018,2,2018-02-01,,,2,False
Ndola,Zambia,28.64,-12.97,2018,3,2018-03-01,,,11,False
Ndola,Zambia,28.64,-12.97,2018,4,2018-04-01,,,112,False
Ndola,Zambia,28.64,-12.97,2018,5,2018-05-01,,,297,False
Ndola,Zambia,28.64,-12.97,2018,6,2018-06-01,-0.760739,,1990,False
Ndola,Zambia,28.64,-12.97,2018,7,2018-07-01,-0.891777,28.936203,4904,True
Ndola,Zambia,28.64,-12.97,2018,8,2018-08-01,-0.640345,40.610682,14949,True
Ndola,Zambia,28.64,-12.97,2018,9,2018-09-01,-0.645517,45.853697,9779,True
Ndola,Zambia,28.64,-12.97,2018,10,2018-10-01,-0.999612,41.80273,3152,True
Ndola,Zambia,28.64,-12.97,2018,11,2018-11-01,-1.09358,37.575739,971,False
Ndola,Zambia,28.64,-12.97,2018,12,2018-12-01,-1.163269,29.715086,22,False
Ndola,Zambia,28.64,-12.97,2019,1,2019-01-01,-1.239894,27.776672,0,False
Ndola,Zambia,28.64,-12.97,2019,2,2019-02-01,-1.314179,27.245199,12,False
Ndola,Zambia,28.64,-12.97,2019,3,2019-03-01,-1.418287,24.980655,20,False
Ndola,Zambia,28.64,-12.97,2019,4,2019-04-01,-1.393344,24.791918,63,False
Ndola,Zambia,28.64,-12.97,2019,5,2019-05-01,-1.353722,25.979227,461,False
Ndola,Zambia,28.64,-12.97,2019,6,2019-06-01,-1.363147,25.843086,2331,False
Ndola,Zambia,28.64,-12.97,2019,7,2019-07-01,-1.233711,30.830524,7868,True
Ndola,Zambia,28.64,-12.97,2019,8,2019-08-01,-0.969025,39.959549,14185,True
Ndola,Zambia,28.64,-12.97,2019,9,2019-09-01,-0.925141,50.952812,7595,True
Ndola,Zambia,28.64,-12.97,2019,10,2019-10-01,-1.26748,45.044226,2928,True
Ndola,Zambia,28.64,-12.97,2019,11,2019-11-01,-1.387545,38.629637,1108,False
Ndola,Zambia,28.64,-12.97,2019,12,2019-12-01,-1.543529,25.92755,25,False
Ndola,Zambia,28.64,-12.97,2020,1,2020-01-01,-1.547777,29.967719,0,False
Ndola,Zambia,28.64,-12.97,2020,2,2020-02-01,-1.486408,33.127109,3,False
Ndola,Zambia,28.64,-12.97,2020,3,2020-03-01,-1.63974,28.548436,0,False
Ndola,Zambia,28.64,-12.97,2020,4,2020-04-01,-1.74116,27.056289,75,False
Ndola,Zambia,28.64,-12.97,2020,5,2020-05-01,-1.672585,-4892.662647,530,False
Ndola,Zambia,28.64,-12.97,2020,6,2020-06-01,-1.545491,30.055478,2140,False
Ndola,Zambia,28.64,-12.97,2020,7,2020-07-01,-1.469192,31.171506,5703,True
Ndola,Zambia,28.64,-12.97,2020,8,2020-08-01,-1.232629,44.278619,12206,True
Ndola,Zambia,28.64,-12.97,2020,9,2020-09-01,-1.143474,50.85633,10278,True
Ndola,Zambia,28.64,-12.97,2020,10,2020-10-01,-1.471026,49.05929,4011,True
Ndola,Zambia,28.64,-12.97,2020,11,2020-11-01,-1.759944,40.162104,792,False
Ndola,Zambia,28.64,-12.97,2020,12,2020-12-01,-1.684198,29.974266,2,False
Ndola,Zambia,28.64,-12.97,2021,1,2021-01-01,-1.634859,29.908246,6,False
Ndola,Zambia,28.64,-12.97,2021,2,2021-02-01,-1.755871,28.963501,9,False
Ndola,Zambia,28.64,-12.97,2021,3,2021-03-01,-1.786919,30.047999,8,False
Ndola,Zambia,28.64,-12.97,2021,4,2021-04-01,-1.855878,24.883379,17,False
Ndola,Zambia,28.64,-12.97,2021,5,2021-05-01,-1.952019,24.650829,201,False
Ndola,Zambia,28.64,-12.97,2021,6,2021-06-01,-1.94329,28.196261,1694,False
Ndola,Zambia,28.64,-12.97,2021,7,2021-07-01,-0.365667,29.40343,5103,True
Ndola,Zambia,28.64,-12.97,2021,8,2021-08-01,-0.022826,41.70569,11866,True
Ndola,Zambia,28.64,-12.97,2021,9,2021-09-01,-0.089773,47.083441,10042,True
Ndola,Zambia,28.64,-12.97,2021,10,2021-10-01,-0.410708,48.949326,3425,True
Ndola,Zambia,28.64,-12.97,2021,11,2021-11-01,-0.612891,42.356827,999,False
Ndola,Zambia,28.64,-12.97,2021,12,2021-12-01,-0.715156,29.845426,461,False
Ndola,Zambia,28.64,-12.97,2022,1,2022-01-01,-1.020382,27.706187,0,False
Ndola,Zambia,28.64,-12.97,2022,2,2022-02-01,-0.926365,26.786255,0,False
Ndola,Zambia,28.64,-12.97,2022,3,2022-03-01,-0.909931,24.760225,1,False
Ndola,Zambia,28.64,-12.97,2022,4,2022-04-01,-0.703897,24.1189,16,False
Ndola,Zambia,28.64,-12.97,2022,5,2022-05-01,-0.285099,24.898041,110,False
Ndola,Zambia,28.64,-12.97,2022,6,2022-06-01,-0.314626,26.246938,944,False
Ndola,Zambia,28.64,-12.97,2022,7,2022-07-01,-0.198657,29.563002,3565,True
Ndola,Zambia,28.64,-12.97,2022,8,2022-08-01,-0.037148,37.971574,11932,True
Ndola,Zambia,28.64,-12.97,2022,9,2022-09-01,0.021613,49.24501,8961,True
Ndola,Zambia,28.64,-12.97,2022,10,2022-10-01,-0.044982,53.834187,3145,True
Ndola,Zambia,28.64,-12.97,2022,11,2022-11-01,-0.788827,41.90455,581,False
Ndola,Zambia,28.64,-12.97,2022,12,2022-12-01,-0.772278,27.375509,2,False
Ndola,Zambia,28.64,-12.97,2023,1,2023-01-01,-0.810791,30.857788,0,False
Ndola,Zambia,28.64,-12.97,2023,2,2023-02-01,-0.836111,26.309482,7,False
Ndola,Zambia,28.64,-12.97,2023,3,2023-03-01,-0.824634,26.962722,1,False
Ndola,Zambia,28.64,-12.97,2023,4,2023-04-01,-0.663363,24.411693,50,False
Ndola,Zambia,28.64,-12.97,2023,5,2023-05-01,-0.407362,25.486253,397,False
Ndola,Zambia,28.64,-12.97,2023,6,2023-06-01,-0.227431,28.775472,1248,False
Ndola,Zambia,28.64,-12.97,2023,7,2023-07-01,-0.217761,29.92157,3810,True
Ndola,Zambia,28.64,-12.97,2023,8,2023-08-01,-0.061614,39.597976,8638,True
Ndola,Zambia,28.64,-12.97,2023,9,2023-09-01,0.129919,52.099064,5677,True
Ndola,Zambia,28.64,-12.97,2023,10,2023-10-01,-0.346919,48.786033,1613,True
Ndola,Zambia,28.64,-12.97,2023,11,2023-11-01,-0.708101,39.518005,303,False
Ndola,Zambia,28.64,-12.97,2023,12,2023-12-01,-0.818095,31.431088,32,False
Ndola,Zambia,28.64,-12.97,2024,1,2024-01-01,-0.852369,29.69079,1,False
Ndola,Zambia,28.64,-12.97,2024,2,2024-02-01,-0.798677,26.559957,17,False
Ndola,Zambia,28.64,-12.97,2024,3,2024-03-01,-0.836066,24.315776,18,False
Ndola,Zambia,28.64,-12.97,2024,4,2024-04-01,-0.694717,23.936983,22,False
Ndola,Zambia,28.64,-12.97,2024,5,2024-05-01,-0.437422,27.723374,662,False
Ndola,Zambia,28.64,-12.97,2024,6,2024-06-01,-0.263316,31.188365,1840,False
Ndola,Zambia,28.64,-12.97,2024,7,2024-07-01,-0.092696,37.66721,6173,True
Ndola,Zambia,28.64,-12.97,2024,8,2024-08-01,-0.06378,41.797654,6771,True
Ndola,Zambia,28.64,-12.97,2024,9,2024-09-01,-0.00606,51.171907,3345,True
Ndola,Zambia,28.64,-12.97,2024,10,2024-10-01,-0.469991,55.626595,2761,True
Ndola,Zambia,28.64,-12.97,2024,11,2024-11-01,-0.867784,40.769835,162,False
Ndola,Zambia,28.64,-12.97,2024,12,2024-12-01,-0.743626,30.436876,190,False
Kitwe,Zambia,28.21,-12.82,2018,1,2018-01-01,,,54,False
Kitwe,Zambia,28.21,-12.82,2018,2,2018-02-01,,,16,False
Kitwe,Zambia,28.21,-12.82,2018,3,2018-03-01,,,25,False
Kitwe,Zambia,28.21,-12.82,2018,4,2018-04-01,,,147,False
Kitwe,Zambia,28.21,-12.82,2018,5,2018-05-01,,,425,False
Kitwe,Zambia,28.21,-12.82,2018,6,2018-06-01,-0.760963,,2635,False
Kitwe,Zambia,28.21,-12.82,2018,7,2018-07-01,-0.89437,29.211982,5577,True
Kitwe,Zambia,28.21,-12.82,2018,8,2018-08-01,-0.598576,41.63927,15915,True
Kitwe,Zambia,28.21,-12.82,2018,9,2018-09-01,-0.64269,46.321477,9029,True
Kitwe,Zambia,28.21,-12.82,2018,10,2018-10-01,-1.020922,42.087156,3166,True
Kitwe,Zambia,28.21,-12.82,2018,11,2018-11-01,-1.119924,37.287037,801,False
Kitwe,Zambia,28.21,-12.82,2018,12,2018-12-01,-1.177466,29.765317,21,False
Kitwe,Zambia,28.21,-12.82,2019,1,2019-01-01,-1.23495,27.913202,0,False
Kitwe,Zambia,28.21,-12.82,2019,2,2019-02-01,-1.308083,27.438574,27,False
Kitwe,Zambia,28.21,-12.82,2019,3,2019-03-01,-1.419166,25.127968,82,False
Kitwe,Zambia,28.21,-12.82,2019,4,2019-04-01,-1.399577,24.828384,113,False
Kitwe,Zambia,28.21,-12.82,2019,5,2019-05-01,-1.359907,26.113228,601,False
Kitwe,Zambia,28.21,-12.82,2019,6,2019-06-01,-1.3641,26.036306,2823,False
Kitwe,Zambia,28.21,-12.82,2019,7,2019-07-01,-1.22391,31.363842,8629,True
Kitwe,Zambia,28.21,-12.82,2019,8,2019-08-01,-0.942725,40.886003,15052,True
Kitwe,Zambia,28.21,-12.82,2019,9,2019-09-01,-0.92937,51.310767,7675,True
Kitwe,Zambia,28.21,-12.82,2019,10,2019-10-01,-1.293783,44.950396,2828,True
Kitwe,Zambia,28.21,-12.82,2019,11,2019-11-01,-1.39555,38.528047,906,False
Kitwe,Zambia,28.21,-12.82,2019,12,2019-12-01,-1.546928,25.894264,59,False
Kitwe,Zambia,28.21,-12.82,2020,1,2020-01-01,-1.54422,30.166341,20,False
Kitwe,Zambia,28.21,-12.82,2020,2,2020-02-01,-1.484856,33.545236,35,False
Kitwe,Zambia,28.21,-12.82,2020,3,2020-03-01,-1.63444,28.711304,30,False
Kitwe,Zambia,28.21,-12.82,2020,4,2020-04-01,-1.742724,27.111195,154,False
Kitwe,Zambia,28.21,-12.82,2020,5,2020-05-01,-1.676825,-2567.287789,675,False
Kitwe,Zambia,28.21,-12.82,2020,6,2020-06-01,-1.547968,30.307653,2629,False
Kitwe,Zambia,28.21,-12.82,2020,7,2020-07-01,-1.278449,31.691431,6549,True
Kitwe,Zambia,28.21,-12.82,2020,8,2020-08-01,-1.191593,45.350068,12651,True
Kitwe,Zambia,28.21,-12.82,2020,9,2020-09-01,-1.140173,51.409774,10292,True
Kitwe,Zambia,28.21,-12.82,2020,10,2020-10-01,-1.488852,49.086515,3746,True
Kitwe,Zambia,28.21,-12.82,2020,11,2020-11-01,-1.779353,40.068024,681,False
Kitwe,Zambia,28.21,-12.82,2020,12,2020-12-01,-1.683012,30.050202,8,False
Kitwe,Zambia,28.21,-12.82,2021,1,2021-01-01,-1.62404,30.10229,15,False
Kitwe,Zambia,28.21,-12.82,2021,2,2021-02-01,-1.741329,29.327932,33,False
Kitwe,Zambia,28.21,-12.82,2021,3,2021-03-01,-1.789534,30.092323,21,False
Kitwe,Zambia,28.21,-12.82,2021,4,2021-04-01,-1.86008,24.898857,57,False
Kitwe,Zambia,28.21,-12.82,2021,5,2021-05-01,-1.954255,24.661065,315,False
Kitwe,Zambia,28.21,-12.82,2021,6,2021-06-01,-1.949446,28.477942,2159,False
Kitwe,Zambia,28.21,-12.82,2021,7,2021-07-01,-0.347781,29.797809,5870,True
Kitwe,Zambia,28.21,-12.82,2021,8,2021-08-01,0.008467,42.577826,12659,True
Kitwe,Zambia,28.21,-12.82,2021,9,2021-09-01,-0.077801,47.570112,9901,True
Kitwe,Zambia,28.21,-12.82,2021,10,2021-10-01,-0.446069,49.145087,3168,True
Kitwe,Zambia,28.21,-12.82,2021,11,2021-11-01,-0.642159,42.33267,675,False
Kitwe,Zambia,28.21,-12.82,2021,12,2021-12-01,-0.742158,29.833617,373,False
Kitwe,Zambia,28.21,-12.82,2022,1,2022-01-01,-1.02625,27.845678,11,False
Kitwe,Zambia,28.21,-12.82,2022,2,2022-02-01,-0.935591,27.027457,6,False
Kitwe,Zambia,28.21,-12.82,2022,3,2022-03-01,-0.917299,24.920987,15,False
Kitwe,Zambia,28.21,-12.82,2022,4,2022-04-01,-0.725,24.072074,70,False
Kitwe,Zambia,28.21,-12.82,2022,5,2022-05-01,-0.294132,24.963296,200,False
Kitwe,Zambia,28.21,-12.82,2022,6,2022-06-01,-0.286002,26.52601,1215,False
Kitwe,Zambia,28.21,-12.82,2022,7,2022-07-01,-0.178924,30.003763,3990,True
Kitwe,Zambia,28.21,-12.82,2022,8,2022-08-01,-0.003069,38.938422,12578,True
Kitwe,Zambia,28.21,-12.82,2022,9,2022-09-01,0.030388,50.145309,9105,True
Kitwe,Zambia,28.21,-12.82,2022,10,2022-10-01,-0.07115,53.921599,2886,True
Kitwe,Zambia,28.21,-12.82,2022,11,2022-11-01,-0.807757,41.796499,464,False
Kitwe,Zambia,28.21,-12.82,2022,12,2022-12-01,-0.778033,27.360252,2,False
Kitwe,Zambia,28.21,-12.82,2023,1,2023-01-01,-0.807924,30.956527,0,False
Kitwe,Zambia,28.21,-12.82,2023,2,2023-02-01,-0.843417,26.366077,12,False
Kitwe,Zambia,28.21,-12.82,2023,3,2023-03-01,-0.831707,27.014204,9,False
Kitwe,Zambia,28.21,-12.82,2023,4,2023-04-01,-0.666006,24.40859,91,False
Kitwe,Zambia,28.21,-12.82,2023,5,2023-05-01,-0.410838,25.546297,556,False
Kitwe,Zambia,28.21,-12.82,2023,6,2023-06-01,-0.224821,29.085439,1546,False
Kitwe,Zambia,28.21,-12.82,2023,7,2023-07-01,-0.192596,30.486229,4261,True
Kitwe,Zambia,28.21,-12.82,2023,8,2023-08-01,-0.019892,40.540947,9262,True
Kitwe,Zambia,28.21,-12.82,2023,9,2023-09-01,0.136507,52.646797,5536,True
Kitwe,Zambia,28.21,-12.82,2023,10,2023-10-01,-0.369251,48.632078,1454,True
Kitwe,Zambia,28.21,-12.82,2023,11,2023-11-01,-0.726994,39.423666,252,False
Kitwe,Zambia,28.21,-12.82,2023,12,2023-12-01,-0.834978,31.359726,43,False
Kitwe,Zambia,28.21,-12.82,2024,1,2024-01-01,-0.86829,29.925042,2,False
Kitwe,Zambia,28.21,-12.82,2024,2,2024-02-01,-0.810912,26.692218,30,False
Kitwe,Zambia,28.21,-12.82,2024,3,2024-03-01,-0.842045,24.297567,30,False
Kitwe,Zambia,28.21,-12.82,2024,4,2024-04-01,-0.701578,23.869347,40,False
Kitwe,Zambia,28.21,-12.82,2024,5,2024-05-01,-0.437246,27.825633,860,False
Kitwe,Zambia,28.21,-12.82,2024,6,2024-06-01,-0.247998,31.602017,2281,False
Kitwe,Zambia,28.21,-12.82,2024,7,2024-07-01,-0.067041,38.363551,6683,True
Kitwe,Zambia,28.21,-12.82,2024,8,2024-08-01,-0.039992,42.300488,7247,True
Kitwe,Zambia,28.21,-12.82,2024,9,2024-09-01,-0.01134,51.193673,3429,True
Kitwe,Zambia,28.21,-12.82,2024,10,2024-10-01,-0.490278,55.541283,2684,True
Kitwe,Zambia,28.21,-12.82,2024,11,2024-11-01,-0.890463,40.683698,134,False
Kitwe,Zambia,28.21,-12.82,2024,12,2024-12-01,-0.774359,30.392275,212,False
Dar es Salaam,Tanzania,39.29,-6.79,2018,1,2018-01-01,,,52,False
Dar es Salaam,Tanzania,39.29,-6.79,2018,2,2018-02-01,,,74,False
Dar es Salaam,Tanzania,39.29,-6.79,2018,3,2018-03-01,,,20,False
Dar es Salaam,Tanzania,39.29,-6.79,2018,4,2018-04-01,,,1,False
Dar es Salaam,Tanzania,39.29,-6.79,2018,5,2018-05-01,,,0,False
Dar es Salaam,Tanzania,39.29,-6.79,2018,6,2018-06-01,-1.243739,,53,False
Dar es Salaam,Tanzania,39.29,-6.79,2018,7,2018-07-01,-0.949027,-65656.403492,814,True
Dar es Salaam,Tanzania,39.29,-6.79,2018,8,2018-08-01,-0.936664,-2481.248707,686,True
